Actor_name,character_types,character,Freebase_character_ID,Freebase_actor_ID,Freebase_character/actor_map_ID,Actor_gender,Actor_age_at_movie_release,Actor_date_of_birth,Actor_height_(in meters),Actor_ethnicity_(Freebase ID),unique_character_name,movie,Wikipedia_movie_ID,Freebase_movie_ID
John Travolta,stupid_crooks,Vincent Vega,/m/030rbl,/m/0f502,/m/01xlj4l,M,,1954.0,1.83,/m/0xnvg,,Pulp Fiction,54173,/m/0f4_l
Harrison Ford,trickster,Han Solo,/m/0fjn8,/m/0c0k1,/m/01xpntj,M,37.0,1942.0,1.85,/m/01qhm_,Han Solo,Star Wars Episode V: The Empire Strikes Back,53964,/m/0f3m1
Jonathan Winters,dumb_muscle,Lennie Pike,/m/0h5n8k6,/m/01gn36,/m/01z0cck,M,37.0,1925.0,1.77,,,"It's a Mad, Mad, Mad, Mad World",18952889,/m/0k5fg
Eddie Murphy,henpecked_husband,Norbit,/m/02nwkcr,/m/0f7hc,/m/01z0rf5,M,45.0,1961.0,1.75,/m/0x67,,Norbit,7261333,/m/0kv2hv
Frank Whaley,crazy_jealous_guy,Guy,/m/02nwn16,/m/07sjll,/m/021_h9h,M,31.0,1963.0,1.71,,,Swimming with Sharks,1670736,/m/05m55b
Warren Oates,drill_sargeant_nasty,Sgt. Hulka,/m/07034y7,/m/049tcm,/m/022108v,M,52.0,1928.0,1.82,,,Stripes,560511,/m/02q2jw
Clancy Brown,arrogant_kungfu_guy,Kurgan,/m/02nwg1k,/m/03wy70,/m/02214xq,M,,1959.0,1.918,,,Highlander,4440277,/m/0c2jgd
Martin Lawrence,henpecked_husband,Bobby Davis,/m/0byd_9c,/m/02633g,/m/0256cyz,M,41.0,1965.0,1.71,/m/0x67,,Wild Hogs,5733558,/m/0f1vgm
Al Pacino,crazy_jealous_guy,Tony Montana,/m/02t4sm,/m/0bj9k,/m/02_8_nx,M,43.0,1940.0,1.7,/m/0xnvg,,Scarface,267848,/m/01nln3
Jon Heder,surfer_dude,Chicken Joe,/m/02_wz81,/m/04stzk,/m/02_wz7y,M,29.0,1977.0,1.85,,,Surf's Up,2811955,/m/08481w
Jeff Bridges,surfer_dude,Geek,/m/02_wz9x,/m/0flw6,/m/02_wz9s,M,57.0,1949.0,1.85,,,Surf's Up,2811955,/m/08481w
Daniel Craig,bruiser_with_a_soft_center,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
Daniel Craig,byronic_hero,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
Daniel Craig,charmer,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
